name,japanese_name,abilities,type1,against_bug,against_dark,against_dragon,against_electric,against_fairy,against_fight,against_fire,against_flying,against_ghost,against_grass,against_ground,against_ice,against_normal,against_poison,against_psychic,against_rock,against_steel,against_water,attack,base_egg_steps,base_happiness,base_total,capture_rate,defense,experience_growth,height_m,hp,percentage_male,pokedex_number,sp_attack,sp_defense,speed,weight_kg,generation,is_legendary
Marowak,Garagaraガラガラ,"['Rock Head', 'Lightningrod', 'Battle Armor', 'Cursed Body', 'Lightningrod', 'Rock Head']",ground,1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2,80,5120,70,425,75,110,1000000,NA,60,50,105,50,80,45,NA,1,0
Hitmonlee,Sawamularサワムラー,"['Limber', 'Reckless', 'Unburden']",fighting,0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1,120,6400,70,455,45,53,1000000,1.5,50,100,106,35,110,87,49.8,1,0
Hitmonchan,Ebiwalarエビワラー,"['Keen Eye', 'Iron Fist', 'Inner Focus']",fighting,0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1,105,6400,70,455,45,79,1000000,1.4,50,100,107,35,110,76,50.2,1,0
Lickitung,Beroringaベロリンガ,"['Own Tempo', 'Oblivious', 'Cloud Nine']",normal,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,55,5120,70,385,45,75,1000000,1.2,90,50,108,60,75,30,65.5,1,0
Koffing,Dogarsドガース,['Levitate'],poison,0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,65,5120,70,340,190,95,1000000,0.6,40,50,109,60,45,35,1,1,0
Weezing,Matadogasマタドガス,['Levitate'],poison,0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,90,5120,70,490,60,120,1000000,1.2,65,50,110,85,70,60,9.5,1,0
Rhyhorn,Sihornサイホーン,"['Lightningrod', 'Rock Head', 'Reckless']",ground,1,1,1,0,1,2,0.5,0.5,1,4,2,2,0.5,0.25,1,0.5,2,4,85,5120,70,345,120,95,1250000,1,80,50,111,30,30,25,115,1,0
Rhydon,Sidonサイドン,"['Lightningrod', 'Rock Head', 'Reckless']",ground,1,1,1,0,1,2,0.5,0.5,1,4,2,2,0.5,0.25,1,0.5,2,4,130,5120,70,485,60,120,1250000,1.9,105,50,112,45,45,40,120,1,0
Chansey,Luckyラッキー,"['Natural Cure', 'Serene Grace', 'Healer']",normal,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,5,10240,140,450,30,5,800000,1.1,250,0,113,35,105,50,34.6,1,0
Tangela,Monjaraモンジャラ,"['Chlorophyll', 'Leaf Guard', 'Regenerator']",grass,2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5,55,5120,70,435,45,115,1000000,1,65,50,114,100,40,60,35,1,0
Kangaskhan,Garuraガルーラ,"['Early Bird', 'Scrappy', 'Inner Focus']",normal,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,125,5120,70,590,45,100,1000000,2.2,105,0,115,60,100,100,80,1,0
Horsea,Tattuタッツー,"['Swift Swim', 'Sniper', 'Damp']",water,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,40,5120,70,295,225,70,1000000,0.4,30,50,116,70,25,60,8,1,0
Seadra,Seadraシードラ,"['Poison Point', 'Sniper', 'Damp']",water,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,65,5120,70,440,75,95,1000000,1.2,55,50,117,95,45,85,25,1,0
Goldeen,Tosakintoトサキント,"['Swift Swim', 'Water Veil', 'Lightningrod']",water,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,67,5120,70,320,225,60,1000000,0.6,45,50,118,35,50,63,15,1,0
Seaking,Azumaoアズマオウ,"['Swift Swim', 'Water Veil', 'Lightningrod']",water,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,92,5120,70,450,60,65,1000000,1.3,80,50,119,65,80,68,39,1,0
Staryu,Hitodemanヒトデマン,"['Illuminate', 'Natural Cure', 'Analytic']",water,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,45,5120,70,340,225,55,1250000,0.8,30,NA,120,70,55,85,34.5,1,0
Starmie,Starmieスターミー,"['Illuminate', 'Natural Cure', 'Analytic']",water,2,2,1,2,1,0.5,0.5,1,2,2,1,0.5,1,1,0.5,1,0.5,0.5,75,5120,70,520,60,85,1250000,1.1,60,NA,121,100,85,115,80,1,0
Mr. Mime,Barrierdバリヤード,"['Soundproof', 'Filter', 'Technician']",psychic,1,1,0,1,1,0.25,1,1,2,1,1,1,1,2,0.5,1,2,1,45,6400,70,460,45,65,1000000,1.3,40,50,122,100,120,90,54.5,1,0
Scyther,Strikeストライク,"['Swarm', 'Technician', 'Steadfast']",bug,0.5,1,1,2,1,0.25,2,2,1,0.25,0,2,1,1,1,4,1,1,110,6400,70,500,45,80,1000000,1.5,70,50,123,55,80,105,56,1,0
Jynx,Rougelaルージュラ,"['Oblivious', 'Forewarn', 'Dry Skin']",ice,2,2,1,1,1,1,2,1,2,1,1,0.5,1,1,0.5,2,2,1,50,6400,70,455,45,35,1000000,1.4,65,0,124,115,95,95,40.6,1,0
Electabuzz,Elebooエレブー,"['Static', 'Vital Spirit']",electric,1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,83,6400,70,490,45,57,1000000,1.1,65,75.4,125,95,85,105,30,1,0
Magmar,Booberブーバー,"['Flame Body', 'Vital Spirit']",fire,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,95,6400,70,495,45,57,1000000,1.3,65,75.4,126,100,85,93,44.5,1,0
Pinsir,Kailiosカイロス,"['Hyper Cutter', 'Mold Breaker', 'Moxie']",bug,1,1,1,1,1,0.5,2,2,1,0.5,0.5,1,1,1,1,2,1,1,155,6400,70,600,45,120,1250000,1.5,65,50,127,65,90,105,55,1,0
Tauros,Kentaurosケンタロス,"['Intimidate', 'Anger Point', 'Sheer Force']",normal,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,100,5120,70,490,45,95,1250000,1.4,75,100,128,40,70,110,88.4,1,0
Magikarp,Koikingコイキング,"['Swift Swim', 'Rattled']",water,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,10,1280,70,200,255,55,1250000,0.9,20,50,129,15,20,80,10,1,0
Gyarados,Gyaradosギャラドス,"['Intimidate', 'Moxie']",water,0.5,1,1,4,1,0.5,0.5,1,1,1,0,1,1,1,1,2,0.5,0.5,155,1280,70,640,45,109,1250000,6.5,95,50,130,70,130,81,235,1,0
Lapras,Laplaceラプラス,"['Water Absorb', 'Shell Armor', 'Hydration']",water,1,1,1,2,1,2,1,1,1,2,1,0.25,1,1,1,2,1,0.5,85,10240,70,535,45,80,1250000,2.5,130,50,131,85,95,60,220,1,0
Ditto,Metamonメタモン,"['Limber', 'Imposter']",normal,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,48,5120,70,288,35,48,1000000,0.3,48,NA,132,48,48,48,4,1,0
Eevee,Eievuiイーブイ,"['Run Away', 'Adaptability', 'Anticipation']",normal,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,55,8960,70,325,45,50,1000000,0.3,55,88.1,133,45,65,55,6.5,1,0
Vaporeon,Showersシャワーズ,"['Water Absorb', 'Hydration']",water,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,65,8960,70,525,45,60,1000000,1,130,88.1,134,110,95,65,29,1,0
Jolteon,Thundersサンダース,"['Volt Absorb', 'Quick Feet']",electric,1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,65,8960,70,525,45,60,1000000,0.8,65,88.1,135,110,95,130,24.5,1,0
Flareon,Boosterブースター,"['Flash Fire', 'Guts']",fire,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,130,8960,70,525,45,60,1000000,0.9,65,88.1,136,95,110,65,25,1,0
Porygon,Porygonポリゴン,"['Trace', 'Download', 'Analytic']",normal,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,60,5120,70,395,45,70,1000000,0.8,65,NA,137,85,75,40,36.5,1,0
Omanyte,Omniteオムナイト,"['Swift Swim', 'Shell Armor', 'Weak Armor']",rock,1,1,1,2,1,2,0.25,0.5,1,4,2,0.5,0.5,0.5,1,1,1,1,40,7680,70,355,45,100,1000000,0.4,35,88.1,138,90,55,35,7.5,1,0
Omastar,Omstarオムスター,"['Swift Swim', 'Shell Armor', 'Weak Armor']",rock,1,1,1,2,1,2,0.25,0.5,1,4,2,0.5,0.5,0.5,1,1,1,1,60,7680,70,495,45,125,1000000,1,70,88.1,139,115,70,55,35,1,0
Kabuto,Kabutoカブト,"['Swift Swim', 'Battle Armor', 'Weak Armor']",rock,1,1,1,2,1,2,0.25,0.5,1,4,2,0.5,0.5,0.5,1,1,1,1,80,7680,70,355,45,90,1000000,0.5,30,88.1,140,55,45,55,11.5,1,0
Kabutops,Kabutopsカブトプス,"['Swift Swim', 'Battle Armor', 'Weak Armor']",rock,1,1,1,2,1,2,0.25,0.5,1,4,2,0.5,0.5,0.5,1,1,1,1,115,7680,70,495,45,105,1000000,1.3,60,88.1,141,65,70,80,40.5,1,0
Aerodactyl,Pteraプテラ,"['Rock Head', 'Pressure', 'Unnerve']",rock,0.5,1,1,2,1,1,0.5,0.5,1,1,0,2,0.5,0.5,1,2,2,2,135,8960,70,615,45,85,1250000,1.8,80,88.1,142,70,95,150,59,1,0
Snorlax,Kabigonカビゴン,"['Immunity', 'Thick Fat', 'Gluttony']",normal,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,110,10240,70,540,25,65,1250000,2.1,160,88.1,143,65,110,30,460,1,0
Articuno,Freezerフリーザー,"['Pressure', 'Snow Cloak']",ice,0.5,1,1,2,1,1,2,1,1,0.5,0,1,1,1,1,4,2,1,85,20480,35,580,3,100,1250000,1.7,90,NA,144,95,125,85,55.4,1,1
Zapdos,Thunderサンダー,"['Pressure', 'Static']",electric,0.5,1,1,1,1,0.5,1,0.5,1,0.5,0,2,1,1,1,2,0.5,1,90,20480,35,580,3,85,1250000,1.6,90,NA,145,125,90,100,52.6,1,1
Moltres,Fireファイヤー,"['Pressure', 'Flame Body']",fire,0.25,1,1,2,0.5,0.5,0.5,1,1,0.25,0,1,1,1,1,4,0.5,2,100,20480,35,580,3,90,1250000,2,90,NA,146,125,85,90,60,1,1
Dratini,Miniryuミニリュウ,"['Shed Skin', 'Marvel Scale']",dragon,1,1,2,0.5,2,1,0.5,1,1,0.5,1,2,1,1,1,1,1,0.5,64,10240,35,300,45,45,1250000,1.8,41,50,147,50,50,50,3.3,1,0
Dragonair,Hakuryuハクリュー,"['Shed Skin', 'Marvel Scale']",dragon,1,1,2,0.5,2,1,0.5,1,1,0.5,1,2,1,1,1,1,1,0.5,84,10240,35,420,45,65,1250000,4,61,50,148,70,70,70,16.5,1,0
Dragonite,Kairyuカイリュー,"['Inner Focus', 'Multiscale']",dragon,0.5,1,2,1,2,0.5,0.5,1,1,0.25,0,4,1,1,1,2,1,0.5,134,10240,35,600,45,95,1250000,2.2,91,50,149,100,100,80,210,1,0
Mewtwo,Mewtwoミュウツー,"['Pressure', 'Unnerve']",psychic,2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,150,30720,0,780,3,70,1250000,2,106,NA,150,194,120,140,122,1,1
Mew,Mewミュウ,['Synchronize'],psychic,2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,100,30720,100,600,45,100,1059860,0.4,100,NA,151,100,100,100,4,1,1
Chikorita,Chicoritaチコリータ,"['Overgrow', 'Leaf Guard']",grass,2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5,49,5120,70,318,45,65,1059860,0.9,45,88.1,152,49,65,45,6.4,2,0
Bayleef,Bayleafベイリーフ,"['Overgrow', 'Leaf Guard']",grass,2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5,62,5120,70,405,45,80,1059860,1.2,60,88.1,153,63,80,60,15.8,2,0
Meganium,Meganiumメガニウム,"['Overgrow', 'Leaf Guard']",grass,2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5,82,5120,70,525,45,100,1059860,1.8,80,88.1,154,83,100,80,100.5,2,0
Cyndaquil,Hinoarashiヒノアラシ,"['Blaze', 'Flash Fire']",fire,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,52,5120,70,309,45,43,1059860,0.5,39,88.1,155,60,50,65,7.9,2,0
Quilava,Magmarashiマグマラシ,"['Blaze', 'Flash Fire']",fire,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,64,5120,70,405,45,58,1059860,0.9,58,88.1,156,80,65,80,19,2,0
Typhlosion,Bakphoonバクフーン,"['Blaze', 'Flash Fire']",fire,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,84,5120,70,534,45,78,1059860,1.7,78,88.1,157,109,85,100,79.5,2,0
Totodile,Waninokoワニノコ,"['Torrent', 'Sheer Force']",water,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,65,5120,70,314,45,64,1059860,0.6,50,88.1,158,44,48,43,9.5,2,0
Croconaw,Alligatesアリゲイツ,"['Torrent', 'Sheer Force']",water,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,80,5120,70,405,45,80,1059860,1.1,65,88.1,159,59,63,58,25,2,0
Feraligatr,Ordileオーダイル,"['Torrent', 'Sheer Force']",water,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,105,5120,70,530,45,100,1059860,2.3,85,88.1,160,79,83,78,88.8,2,0
Sentret,Otachiオタチ,"['Run Away', 'Keen Eye', 'Frisk']",normal,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,46,3840,70,215,255,34,1000000,0.8,35,50,161,35,45,20,6,2,0
Furret,Ootachiオオタチ,"['Run Away', 'Keen Eye', 'Frisk']",normal,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,76,3840,70,415,90,64,1000000,1.8,85,50,162,45,55,90,32.5,2,0
Hoothoot,Hohoホーホー,"['Insomnia', 'Keen Eye', 'Tinted Lens']",normal,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,30,3840,70,262,255,30,1000000,0.7,60,50,163,36,56,50,21.2,2,0
Noctowl,Yorunozukuヨルノズク,"['Insomnia', 'Keen Eye', 'Tinted Lens']",normal,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,50,3840,70,452,90,50,1000000,1.6,100,50,164,86,96,70,40.8,2,0
Ledyba,Redibaレディバ,"['Swarm', 'Early Bird', 'Rattled']",bug,0.5,1,1,2,1,0.25,2,2,1,0.25,0,2,1,1,1,4,1,1,20,3840,70,265,255,30,800000,1,40,50,165,40,80,55,10.8,2,0
Ledian,Redianレディアン,"['Swarm', 'Early Bird', 'Iron Fist']",bug,0.5,1,1,2,1,0.25,2,2,1,0.25,0,2,1,1,1,4,1,1,35,3840,70,390,90,50,800000,1.4,55,50,166,55,110,85,35.6,2,0
Spinarak,Itomaruイトマル,"['Swarm', 'Insomnia', 'Sniper']",bug,0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1,60,3840,70,250,255,40,800000,0.5,40,50,167,40,40,30,8.5,2,0
Ariados,Ariadosアリアドス,"['Swarm', 'Insomnia', 'Sniper']",bug,0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1,90,3840,70,400,90,70,800000,1.1,70,50,168,60,70,40,33.5,2,0
Crobat,Crobatクロバット,"['Inner Focus', 'Infiltrator']",poison,0.25,1,1,2,0.5,0.25,1,1,1,0.25,0,2,1,0.5,2,2,1,1,90,3840,70,535,90,80,1000000,1.8,85,50,169,70,80,130,75,2,0
Chinchou,Chonchieチョンチー,"['Volt Absorb', 'Illuminate', 'Water Absorb']",water,1,1,1,1,1,1,0.5,0.5,1,2,2,0.5,1,1,1,1,0.25,0.5,38,5120,70,330,190,38,1250000,0.5,75,50,170,56,56,67,12,2,0
Lanturn,Lanternランターン,"['Volt Absorb', 'Illuminate', 'Water Absorb']",water,1,1,1,1,1,1,0.5,0.5,1,2,2,0.5,1,1,1,1,0.25,0.5,58,5120,70,460,75,58,1250000,1.2,125,50,171,76,76,67,22.5,2,0
Pichu,Pichuピチュー,"['Static', 'Lightningrod']",electric,1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,40,2560,70,205,190,15,1000000,0.3,20,50,172,35,35,60,2,2,0
Cleffa,Pyピィ,"['Cute Charm', 'Magic Guard', 'Friend Guard']",fairy,0.5,0.5,0,1,1,0.5,1,1,1,1,1,1,1,2,1,1,2,1,25,2560,140,218,150,28,800000,0.3,50,24.6,173,45,55,15,3,2,0
Igglybuff,Pupurinププリン,"['Cute Charm', 'Competitive', 'Friend Guard']",normal,0.5,0.5,0,1,1,1,1,1,0,1,1,1,1,2,1,1,2,1,30,2560,70,210,170,15,800000,0.3,90,24.6,174,40,20,15,1,2,0
Togepi,Togepyトゲピー,"['Hustle', 'Serene Grace', 'Super Luck']",fairy,0.5,0.5,0,1,1,0.5,1,1,1,1,1,1,1,2,1,1,2,1,20,2560,70,245,190,65,800000,0.3,35,88.1,175,40,65,20,1.5,2,0
Togetic,Togechickトゲチック,"['Hustle', 'Serene Grace', 'Super Luck']",fairy,0.25,0.5,0,2,1,0.25,1,1,1,0.5,0,2,1,2,1,2,2,1,40,2560,70,405,75,85,800000,0.6,55,88.1,176,80,105,40,3.2,2,0
Natu,Natyネイティ,"['Synchronize', 'Early Bird', 'Magic Bounce']",psychic,1,2,1,2,1,0.25,1,1,2,0.5,0,2,1,1,0.5,2,1,1,50,5120,70,320,190,45,1000000,0.2,40,50,177,70,45,70,2,2,0
Xatu,Natioネイティオ,"['Synchronize', 'Early Bird', 'Magic Bounce']",psychic,1,2,1,2,1,0.25,1,1,2,0.5,0,2,1,1,0.5,2,1,1,75,5120,70,470,75,70,1000000,1.5,65,50,178,95,70,95,15,2,0
Mareep,Merriepメリープ,"['Static', 'Plus']",electric,1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,40,5120,70,280,235,40,1059860,0.6,55,50,179,65,45,35,7.8,2,0
Flaaffy,Mokokoモココ,"['Static', 'Plus']",electric,1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,55,5120,70,365,120,55,1059860,0.8,70,50,180,80,60,45,13.3,2,0
Ampharos,Denryuデンリュウ,"['Static', 'Plus']",electric,1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,95,5120,70,610,45,105,1059860,1.4,90,50,181,165,110,45,61.5,2,0
Bellossom,Kireihanaキレイハナ,"['Chlorophyll', 'Healer']",grass,2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5,80,5120,70,490,45,95,1059860,0.4,75,50,182,90,100,50,5.8,2,0
Marill,Marilマリル,"['Thick Fat', 'Huge Power', 'Sap Sipper']",water,0.5,0.5,0,2,1,0.5,0.5,1,1,2,1,0.5,1,2,1,1,1,0.5,20,2560,70,250,190,50,800000,0.4,70,50,183,20,50,40,8.5,2,0
Azumarill,Marilliマリルリ,"['Thick Fat', 'Huge Power', 'Sap Sipper']",water,0.5,0.5,0,2,1,0.5,0.5,1,1,2,1,0.5,1,2,1,1,1,0.5,50,2560,70,420,75,80,800000,0.8,100,50,184,60,80,50,28.5,2,0
Sudowoodo,Usokkieウソッキー,"['Sturdy', 'Rock Head', 'Rattled']",rock,1,1,1,1,1,2,0.5,0.5,1,2,2,1,0.5,0.5,1,1,2,2,100,5120,70,410,65,115,1000000,1.2,70,50,185,30,65,30,38,2,0
Politoed,Nyorotonoニョロトノ,"['Water Absorb', 'Damp', 'Drizzle']",water,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,75,5120,70,500,45,75,1059860,1.1,90,50,186,90,100,70,33.9,2,0
Hoppip,Haneccoハネッコ,"['Chlorophyll', 'Leaf Guard', 'Infiltrator']",grass,1,1,1,1,1,0.5,2,2,1,0.25,0,4,1,2,1,2,1,0.5,35,5120,70,250,255,40,1059860,0.4,35,50,187,35,55,50,0.5,2,0
Skiploom,Popoccoポポッコ,"['Chlorophyll', 'Leaf Guard', 'Infiltrator']",grass,1,1,1,1,1,0.5,2,2,1,0.25,0,4,1,2,1,2,1,0.5,45,5120,70,340,120,50,1059860,0.6,55,50,188,45,65,80,1,2,0
Jumpluff,Wataccoワタッコ,"['Chlorophyll', 'Leaf Guard', 'Infiltrator']",grass,1,1,1,1,1,0.5,2,2,1,0.25,0,4,1,2,1,2,1,0.5,55,5120,70,460,45,70,1059860,0.8,75,50,189,55,95,110,3,2,0
Aipom,Eipamエイパム,"['Run Away', 'Pickup', 'Skill Link']",normal,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,70,5120,70,360,45,55,800000,0.8,55,50,190,40,55,85,11.5,2,0
Sunkern,Himanutsヒマナッツ,"['Chlorophyll', 'Solar Power', 'Early Bird']",grass,2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5,30,5120,70,180,235,30,1059860,0.3,30,50,191,30,30,30,1.8,2,0
Sunflora,Kimawariキマワリ,"['Chlorophyll', 'Solar Power', 'Early Bird']",grass,2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5,75,5120,70,425,120,55,1059860,0.8,75,50,192,105,85,30,8.5,2,0
Yanma,Yanyanmaヤンヤンマ,"['Speed Boost', 'Compoundeyes', 'Frisk']",bug,0.5,1,1,2,1,0.25,2,2,1,0.25,0,2,1,1,1,4,1,1,65,5120,70,390,75,45,1000000,1.2,65,50,193,75,45,95,38,2,0
Wooper,Upahウパー,"['Damp', 'Water Absorb', 'Unaware']",water,1,1,1,0,1,1,0.5,1,1,4,1,1,1,0.5,1,0.5,0.5,1,45,5120,70,210,255,45,1000000,0.4,55,50,194,25,25,15,8.5,2,0
Quagsire,Nuohヌオー,"['Damp', 'Water Absorb', 'Unaware']",water,1,1,1,0,1,1,0.5,1,1,4,1,1,1,0.5,1,0.5,0.5,1,85,5120,70,430,90,85,1000000,1.4,95,50,195,65,65,35,75,2,0
Espeon,Eifieエーフィ,"['Synchronize', 'Magic Bounce']",psychic,2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,65,8960,70,525,45,60,1000000,0.9,65,88.1,196,130,95,110,26.5,2,0
Umbreon,Blackyブラッキー,"['Synchronize', 'Inner Focus']",dark,2,0.5,1,1,2,2,1,1,0.5,1,1,1,1,1,0,1,1,1,65,8960,35,525,45,110,1000000,1,95,88.1,197,60,130,65,27,2,0
Murkrow,Yamikarasuヤミカラス,"['Insomnia', 'Super Luck', 'Prankster']",dark,1,0.5,1,2,2,1,1,1,0.5,0.5,0,2,1,1,0,2,1,1,85,5120,35,405,30,42,1059860,0.5,60,50,198,85,42,91,2.1,2,0
Slowking,Yadokingヤドキング,"['Oblivious', 'Own Tempo', 'Regenerator']",water,2,2,1,2,1,0.5,0.5,1,2,2,1,0.5,1,1,0.5,1,0.5,0.5,75,5120,70,490,70,80,1000000,2,95,50,199,100,110,30,79.5,2,0
Misdreavus,Mumaムウマ,['Levitate'],ghost,0.5,2,1,1,1,0,1,1,2,1,1,1,0,0.5,1,1,1,1,60,6400,35,435,45,60,800000,0.7,60,50,200,85,85,85,1,2,0
Unown,Unknownアンノーン,['Levitate'],psychic,2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,72,10240,70,336,225,48,1000000,0.5,48,NA,201,72,48,48,5,2,0
Wobbuffet,Sonansソーナンス,"['Shadow Tag', 'Telepathy']",psychic,2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,33,5120,70,405,45,58,1000000,1.3,190,50,202,33,58,33,28.5,2,0
Girafarig,Kirinrikiキリンリキ,"['Inner Focus', 'Early Bird', 'Sap Sipper']",normal,2,2,1,1,1,1,1,1,0,1,1,1,1,1,0.5,1,1,1,80,5120,70,455,60,65,1000000,1.5,70,50,203,90,65,85,41.5,2,0
Pineco,Kunugidamaクヌギダマ,"['Sturdy', 'Overcoat']",bug,1,1,1,1,1,0.5,2,2,1,0.5,0.5,1,1,1,1,2,1,1,65,5120,70,290,190,90,1000000,0.6,50,50,204,35,35,15,7.2,2,0
Forretress,Foretosフォレトス,"['Sturdy', 'Overcoat']",bug,0.5,1,0.5,1,0.5,1,4,1,1,0.25,1,0.5,0.5,0,0.5,1,0.5,1,90,5120,70,465,75,140,1000000,1.2,75,50,205,60,60,40,125.8,2,0
Dunsparce,Nokocchiノコッチ,"['Serene Grace', 'Run Away', 'Rattled']",normal,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,70,5120,70,415,190,70,1000000,1.5,100,50,206,65,65,45,14,2,0
Gligar,Gligerグライガー,"['Hyper Cutter', 'Sand Veil', 'Immunity']",ground,0.5,1,1,0,1,0.5,1,1,1,1,0,4,1,0.5,1,1,1,2,75,5120,70,430,60,105,1059860,1.1,65,50,207,35,65,85,64.8,2,0
Steelix,Haganeilハガネール,"['Rock Head', 'Sturdy', 'Sheer Force']",steel,0.5,1,0.5,0,0.5,2,2,0.5,1,1,2,1,0.5,0,0.5,0.25,0.5,2,125,6400,70,610,25,230,1000000,9.2,75,50,208,55,95,30,400,2,0
Snubbull,Buluブルー,"['Intimidate', 'Run Away', 'Rattled']",fairy,0.5,0.5,0,1,1,0.5,1,1,1,1,1,1,1,2,1,1,2,1,80,5120,70,300,190,50,800000,0.6,60,24.6,209,40,40,30,7.8,2,0
Granbull,Granbuluグランブル,"['Intimidate', 'Quick Feet', 'Rattled']",fairy,0.5,0.5,0,1,1,0.5,1,1,1,1,1,1,1,2,1,1,2,1,120,5120,70,450,75,75,800000,1.4,90,24.6,210,60,60,45,48.7,2,0
Qwilfish,Harysenハリーセン,"['Poison Point', 'Swift Swim', 'Intimidate']",water,0.5,1,1,2,0.5,0.5,0.5,1,1,1,2,0.5,1,0.5,2,1,0.5,0.5,95,5120,70,440,45,85,1000000,0.5,65,50,211,55,55,85,3.9,2,0
Scizor,Hassamハッサム,"['Swarm', 'Technician', 'Light Metal']",bug,0.5,1,0.5,1,0.5,1,4,1,1,0.25,1,0.5,0.5,0,0.5,1,0.5,1,150,6400,70,600,25,140,1000000,1.8,70,50,212,65,100,75,118,2,0
Shuckle,Tsubotsuboツボツボ,"['Sturdy', 'Gluttony', 'Contrary']",bug,1,1,1,1,1,1,1,1,1,1,1,1,0.5,0.5,1,2,2,2,10,5120,70,505,190,230,1059860,0.6,20,50,213,10,230,5,20.5,2,0
Heracross,Heracrosヘラクロス,"['Swarm', 'Guts', 'Moxie']",bug,0.5,0.5,1,1,2,0.5,2,4,1,0.5,0.5,1,1,1,2,1,1,1,185,6400,70,600,45,115,1250000,1.5,80,50,214,40,105,75,54,2,0
